title,country,slug,designation,events,linkedin,twitter,github,bio
Alexis Guijarro,mx,alexis-guijarro,"Co-Organizador, Robots Latam; Profesor de Tiempo Completo, Universidad La Salle Laguna",2022,,https://twitter.com/alexis_guijarro,https://toton.dev,"Alexis Guijarro es un contribuidor de robótica Open Source proveniente de México, co-host en Robots Latam y Profesor de tiempo completo para ingenierías en Universidad La Salle Laguna.

Maestro en Ciencias de la Computación por Texas A&M University-Corpus Christi y Lic. en Ingeniería en Mecatrónica y en Sistemas de Control de Procesos por Universidad La Salle Laguna.

Su trabajo cubre temas en Sistemas Autónomos Aéreos No Tripulados, IA, Visión Artificial y Control."
Anita ihuman,ni,anita-ihuman,Community Manager - Layer5,2022,https://www.linkedin.com/in/anita-ihuman/,https://twitter.com/Anita_ihuman,https://github.com/Anita-ihuman,"Anita is a developer advocate and a technical writer. She enjoys contributing to many non-profit and open source organisations encouraging women's technology empowerment. She has nurtured and mentored young girls under organisations like AnitaB.org and SheCodeAfrica. She has spoken at various international conferences like KubeCon China, DevConf.cz, FOSSBackstage, FOSDEM and many more. She is on the organising team for Kubernetes Community Day Africa(KCD), and a member of the DevNetwork Cloud Advisory board. Anita is a maintainer on the CHAOSS DE&I Badging initiative and a community leader at Layer5(a service mesh company). She is interested in all things FOSS, cloud-native and advocacy."
Diana Martínez,mx,diana-martinez,Fundadora de Robots Latam y Teacher en Platzi.,2022,,https://twitter.com/diana_nerd,https://github.com/nerddiana/,"Software Developer, UI Designer & Robotic enthusiast.
Founder at Robots Latam.
Teacher at Platzi."
Fer Perales,mx,fer-perales,Software Developer en thoughtbot,2022,linkedin.com/in/ferperales,https://twitter.com/ferperales,github.com/ferperales,"Fernando is a Software engineer who writes web applications on his favorite language: Ruby.
Fer is actively involved in the local communities and is currently running RubyMX community as well as member and co-organizer of the RailsBridge Mexican chapter."
Joel Ibaceta,pe,joel-ibaceta,CTO at Kwema Inc,2022,https://www.linkedin.com/in/joelibaceta/,,https://github.com/joelibaceta,"Soy programador de toda la vida, apasionado por entender en profundidad los temas de mi interes, he tenido la oportunidad de vivir trabajar y aprender en diversos paises de la region, ahora me encuentro emprendiendo negocios de tecnologia en los estados unidos y sudamerica."
José Alfredo Román Cruz,mx,jose-alfredo-romn-cruz,Docente,2022,https://www.linkedin.com/analytics/profile-views/,,https://www.linkedin.com/in/jos%C3%A9-alfredo-rom%C3%A1n-cruz/,"Rural teacher in the area of ​​systems engineering at Tecnologico de Tlaxiaco in Oaxaca, specialized trainer in agile classrooms to face challenges due to COVID with GitHub Education and Near University to create opportunities for development and management of technological projects for communities in Oaxaca"
Josue Araujo,mx,josue-araujo,CTO en Nueve09,2022,https://www.linkedin.com/in/nemux1/,https://twitter.com/nemux,https://github.com/nemux,I'll code for food...
Juan Vasquez,mx,juan-vasquez,"Developer, FastRuby.io",2022,,https://twitter.com/juanvqz_,https://github.com/JuanVqz,
Luis Martinez,mx,luis-martinez,Asistente de profesor UNAM,2022,https://www.linkedin.com/in/luis-eduardo-martinez-hernandez-782470120/,,https://github.com/mentesniker,Egresado de la carrera de ciencias de la computacion. Qiskit advocate y contribuidor activo de proyectos de computacion cuantica.
Manasés Jesús,mx,manases-jesus,Software Architect | Cumulocity IoT,2022,https://www.linkedin.com/in/manasesjesus,,https://github.com/manasesjesus,"Manasés Jesús has been happily hacking since high school employing different programming languages, tech-stacks and software development methodologies. He has architected and implemented distributed systems, mobile and cloud-native applications, as well as led projects and delivered working software to a range of international corporations in the IT, banking and IoT sectors. He has a wide range of interests and expertise, including full-stack development, API design, and developer experience and advocacy.

DevRel at heart, architect by role and entrepreneur since childhood, he enjoys learning, teaching, giving workshops, connecting with communities and helping developers discover their opportunities for innovation with APIs and ecosystems. He has trained fellow software engineers, published scientific articles, spoken at international conferences, and has been featured in the O'Reilly's book _*97 Things Every Cloud Engineer Should Know*_."
Mariano Renteria,mx,mariano-renteria,Director de Ingeniería en MedTrainer,2022,https://www.linkedin.com/in/marianorenteria/,https://twitter.com/marianorenteria,,"Desarrollador de Software de cepa, llevo 7 años trabajando en MedTrainer, actualmente me desempeño como Director de Ingeniería con un equipo de 60 personas a cargo. 
Soy miembro core de la comunidad de PHP México.
En mis tiempos *libres* doy asesorías, mentorías, creo contenido como podcasts y videos."
Mario García,mx,mario-garcia,Technical Evangelist - Percona,2022,https://linkedin.com/in/mariogmd,https://twitter.com/mariogmd,https://github.com/mattdark,"An active Open Source contributor for more than 15 years. Technical Evangelist at Percona. Python Developer with experience automating stuff and web development. Speaker at tech and innovation events since 2008. DevOp enthusiast. Member of GitLab Heroes, GitKraken Ambassadors and HashiCorp Ambassadors."
